year,Price,kms_driven,fuel_type,Brand,Model
2014,299999.0,19000.0,Petrol,Maruti,Suzuki Ritz VXI
2009,220000.0,46000.0,Petrol,Maruti,Suzuki Dzire
2013,399999.0,33000.0,Diesel,Maruti,Suzuki Ritz LDi
2013,372000.0,13349.0,Petrol,Maruti,Suzuki Swift VXi 1.2 BS IV
2015,450000.0,104000.0,Diesel,Maruti,Suzuki Dzire VDI
2014,270000.0,55000.0,Petrol,Toyota,Etios Liva G
2011,350000.0,33333.0,Diesel,Hyundai,i20 Sportz 1.4 CRDI
2012,158400.0,33600.0,Petrol,Chevrolet,Spark
2017,350000.0,5600.0,Petrol,Maruti,Suzuki Alto K10 VXi AMT
2011,179000.0,41000.0,Petrol,Nissan,Micra XV
2007,125000.0,70000.0,Petrol,Maruti,Suzuki Swift
2018,200000.0,7500.0,Petrol,Maruti,Suzuki Alto 800
2013,299000.0,45000.0,Diesel,Honda,Amaze 1.5 S i DTEC
2015,220000.0,38000.0,Petrol,Maruti,Suzuki Alto 800 Vxi
2015,150000.0,30000.0,Petrol,Chevrolet,Beat
2010,285000.0,35000.0,Petrol,Honda,City 1.5 V MT
2016,830000.0,24330.0,Diesel,Ford,EcoSport Trend 1.5L TDCi
2009,210000.0,65480.0,Petrol,Hyundai,i20 Asta 1.2
2013,340000.0,41000.0,Petrol,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV
2006,90000.0,20000.0,Petrol,Tata,Indica V2 eLS
2000,70000.0,200000.0,Diesel,Hindustan,Motors Ambassador
2010,289999.0,70000.0,Petrol,Toyota,Corolla Altis 1.8 GL
2012,349999.0,59000.0,Petrol,Toyota,Corolla Altis 1.8 J
2012,849999.0,99000.0,Diesel,Toyota,Innova 2.5 GX BS IV 7 STR
2014,749999.0,46000.0,Diesel,Volkswagen,Jetta Highline TDI AT
2015,399999.0,2800.0,Petrol,Volkswagen,Polo Comfortline 1.2L P
2014,274999.0,32000.0,Petrol,Volkswagen,Polo
2015,984999.0,22000.0,Diesel,Mahindra,Scorpio
2014,449999.0,50000.0,Diesel,Renault,Duster
2015,344999.0,22000.0,Petrol,Honda,Amaze
2012,224999.0,45000.0,Petrol,Nissan,Sunny
2018,599999.0,21000.0,Petrol,Hyundai,Elite i20
2016,244999.0,11000.0,Petrol,Renault,Kwid
2013,399999.0,41000.0,Diesel,Renault,Duster
2017,489999.0,39000.0,Petrol,Ford,EcoSport
2014,474999.0,50000.0,Diesel,Renault,Duster
2011,499999.0,66000.0,Diesel,Mahindra,Scorpio VLX Airbag
2018,310000.0,3000.0,Petrol,Maruti,Suzuki Alto 800 Lxi
2010,85000.0,45000.0,Petrol,Chevrolet,Spark LT 1.0
2016,245000.0,7000.0,Petrol,Datsun,Redi GO T O
2010,189500.0,38500.0,Diesel,Maruti,Suzuki Swift RS VDI
2012,169500.0,37200.0,Diesel,Fiat,Punto Emotion 1.2
2010,159500.0,43200.0,Diesel,Maruti,Suzuki Swift RS VDI
2013,275000.0,24800.0,Petrol,Toyota,Etios GD
2014,370000.0,60000.0,Diesel,Hyundai,i20 Sportz 1.4 CRDI
2010,168000.0,45872.0,Petrol,Hyundai,i10 Sportz 1.2
2011,150000.0,40000.0,Diesel,Chevrolet,Beat LT Opt Diesel
2011,145000.0,45000.0,Diesel,Chevrolet,Beat LS Diesel
2012,98500.0,38000.0,Diesel,Chevrolet,Beat LT Diesel
2014,699000.0,50000.0,Diesel,Mahindra,Scorpio VLX 2WD BS IV
2011,85000.0,11400.0,Diesel,Tata,Indigo CS
2015,575000.0,42000.0,Petrol,Toyota,Corolla Altis 1.8 J
2014,549000.0,39000.0,Petrol,Honda,City 1.5 V MT
2011,209000.0,47000.0,Diesel,Maruti,Suzuki Swift VDi
2013,185000.0,27000.0,Petrol,Hyundai,Eon Era Plus
2015,900000.0,97200.0,Diesel,Mahindra,Scorpio S10
2014,699999.0,52000.0,Diesel,Mahindra,XUV500
2012,224999.0,30000.0,Petrol,Honda,Brio
2011,274999.0,55000.0,Diesel,Ford,Fiesta
2013,284999.0,46000.0,Diesel,Honda,Amaze
2015,599999.0,30000.0,Diesel,Honda,City
2012,199999.0,44000.0,Petrol,Maruti,Suzuki Wagon R
2014,544999.0,45000.0,Diesel,Honda,City
2009,199000.0,31000.0,Petrol,Hyundai,i20
2016,320000.0,175430.0,Diesel,Tata,Indigo eCS LX TDI BS III
2015,540000.0,38000.0,Diesel,Hyundai,Fluidic Verna 1.6 CRDi SX
2013,340000.0,37000.0,Diesel,Mahindra,Quanto C8
2008,75000.0,65000.0,Petrol,Fiat,Petra ELX 1.2 PS
2011,159500.0,38200.0,Diesel,Skoda,Fabia 1.2L Diesel Ambiente
2013,1891111.0,13000.0,Petrol,Mini,Cooper S 1.6
2005,49000.0,7500.0,Petrol,Hyundai,Santro Xing XS
2016,700000.0,3350.0,Petrol,Maruti,Suzuki Ciaz VXi Plus
2000,55000.0,60000.0,Petrol,Maruti,Suzuki Zen VX
2015,448999.0,54000.0,Petrol,Honda,City
2017,895000.0,32000.0,Petrol,Hyundai,Creta 1.6 SX Plus Petrol
2007,355000.0,75000.0,Diesel,Mahindra,Scorpio SLX
2012,565000.0,62000.0,Diesel,Mahindra,Scorpio SLE BS IV
2006,365000.0,73000.0,Diesel,Toyota,Innova 2.5 G BS III 8 STR
